Location,Core name,Lat,Lon,O2,O2_sd,Cib Species,Globobulimina species,dd13C,dd13C_sd,type,reference,Group,is_outlier,low_o2,is_foram_only,use_all_calib,use_sub_calib,calibration_decision
Atlantic,KNR197-3-35MC,8.47,-52.79,258.72,0.2,C.wuellerstorfi,G.affinis,2.83,0.23,epifaunal and deep infaunal benthic foraminifera,"Costa et al., 2023",C_wuel,FALSE,FALSE,TRUE,TRUE,TRUE,included_all
Indian,TN041-8PG/8JPC,17.8,57.5,8.46,1.99,C.unidentified,G.affinis,0.63,0.51,epifaunal and deep infaunal benthic foraminifera,"Lu et al., 2022",C_unid,FALSE,TRUE,TRUE,FALSE,FALSE,O2_below_50
Pacific,ODP 1242,7.86,-83.61,92.21,5.11,C.wuellerstorfi,mixed,1.08,0.23,epifaunal and deep infaunal benthic foraminifera,"Hoogakker et al., 2015",C_wuel,FALSE,FALSE,TRUE,TRUE,TRUE,included_all
Pacific,TR163-25,-1.65,-88.45,119.89,2.98,C.wuellerstorfi,G.affinis,1.69,0.23,epifaunal and deep infaunal benthic foraminifera,"Hoogakker et al., 2015",C_wuel,FALSE,FALSE,TRUE,TRUE,TRUE,included_all
Pacific,TR163-23,0.41,-92.16,120.09,3.66,C.wuellerstorfi,G.affinis,1.78,0.23,epifaunal and deep infaunal benthic foraminifera,"Umling and Thunel, 2018",C_wuel,FALSE,FALSE,TRUE,TRUE,TRUE,included_all
Pacific,ODP 1240,0.02,-86.46,124.13,1.65,C.wuellerstorfi,G.affinis,2.15,0.23,epifaunal and deep infaunal benthic foraminifera,"Jacobel et al., 2020",C_wuel,FALSE,FALSE,TRUE,TRUE,TRUE,included_all
Pacific,ODP 846,-3.09,-90.82,137.97,2.31,C.wuellerstorfi,G.affinis,1.61,0.23,epifaunal and deep infaunal benthic foraminifera,"Jacobel et al., 2020",C_wuel,FALSE,FALSE,TRUE,TRUE,TRUE,included_all
Pacific,KNR195-5-MC-25B,-3.582533,-81.1645,14.85,0.71,C.wuellerstorfi,G.affinis,1.886,0.2,epifaunal and deep infaunal benthic foraminifera,"Lu et al., 2026",C_wuel,TRUE,TRUE,TRUE,FALSE,FALSE,outlier
Pacific,KNR195-5-MC-42B,-1.253017,-89.68555,41.54,3.59,C.wuellerstorfi,G.affinis,0.980214285714286,0.198063301569401,epifaunal and deep infaunal benthic foraminifera,"Lu et al., 2026",C_wuel,FALSE,TRUE,TRUE,FALSE,FALSE,O2_below_50
Pacific,KNR195-5-MC-22A,-3.8504,-81.25,40.49,0.64,C.wuellerstorfi,G.affinis,1.07466666666667,0.0711500761302002,epifaunal and deep infaunal benthic foraminifera,"Lu et al., 2026",C_wuel,FALSE,TRUE,TRUE,FALSE,FALSE,O2_below_50
Pacific,KNR195-5-MC-18B,-3.986617,-81.3099,60.09,2.93,C.wuellerstorfi,G.affinis,0.893,0.264552452266087,epifaunal and deep infaunal benthic foraminifera,"Lu et al., 2026",C_wuel,FALSE,FALSE,TRUE,TRUE,TRUE,included_all
Pacific,KNR195-5-MC-4B,-0.216133,-89.504217,76.85,1.07,C.wuellerstorfi,G.affinis,1.25116666666667,0.106092255450936,epifaunal and deep infaunal benthic foraminifera,"Lu et al., 2026",C_wuel,FALSE,FALSE,TRUE,TRUE,TRUE,included_all
Pacific,KNR195-5-MC-9B,-0.826,-87.908167,82.51,0.8,C.wuellerstorfi,G.affinis,0.814833333333333,0.10455508914762,epifaunal and deep infaunal benthic foraminifera,"Lu et al., 2026",C_wuel,FALSE,FALSE,TRUE,TRUE,TRUE,included_all
